#Organism	Tissue	Cell	Experiment	Background	Method	Repeat	Antibody	Sequencer	Read Type	Multiplex	Library

Mouse		MEF	Qiao TC-Seq	MEF_cMyc_AIDrv (cmyc I-sceI/I-sceI AIDrv IgH I-sceI/I-sceI)	TC-Seq	Replicate 1		HiSeq2000	Paired-end 1	1	r120921A_l8_nk__nk__TCseq_2A.r1.fastq.gz

Mouse		MEF	Qiao TC-Seq	MEF_cMyc_AIDrv (cmyc I-sceI/I-sceI AIDrv IgH I-sceI/I-sceI)	TC-Seq	Replicate 1		HiSeq2000	Paired-end 2	1	r120921A_l8_nk__nk__TCseq_2A.r2.fastq.gz

Mouse		MEF	Qiao TC-Seq	MEF_cMyc_AIDrv (cmyc I-sceI/I-sceI AIDrv IgH I-sceI/I-sceI)	TC-Seq	Replicate 2		MiSeq	Paired-end 1	0	CHIAO2_S1_L001_R1_001.fastq.gz

Mouse		MEF	Qiao TC-Seq	MEF_cMyc_AIDrv (cmyc I-sceI/I-sceI AIDrv IgH I-sceI/I-sceI)	TC-Seq	Replicate 2		MiSeq	Paired-end 2	0	CHIAO2_S1_L001_R2_001.fastq.gz

Mouse		MEF	Qiao TC-Seq	MEF_cMyc_AIDmm  (cmyc I-sceI/I-sceI AIDmm IgH I-sceI/I-sceI)	TC-Seq	Replicate 1		MiSeq	Paired-end 1	0	MEFIsceIrv_S1_L001_R1_001.fastq.gz

Mouse		MEF	Qiao TC-Seq	MEF_cMyc_AIDmm  (cmyc I-sceI/I-sceI AIDmm IgH I-sceI/I-sceI)	TC-Seq	Replicate 1		MiSeq	Paired-end 2	0	MEFIsceIrv_S1_L001_R2_001.fastq.gz

Mouse		MEF	Qiao TC-Seq	MEF_cMyc_AIDmm  (cmyc I-sceI/I-sceI AIDmm IgH I-sceI/I-sceI)	TC-Seq	Replicate 2		MiSeq	Paired-end 1		MEF-Iscei-rv-2_S1_L001_R1_001.fastq.gz

Mouse		MEF	Qiao TC-Seq	MEF_cMyc_AIDmm  (cmyc I-sceI/I-sceI AIDmm IgH I-sceI/I-sceI)	TC-Seq	Replicate 2		MiSeq	Paired-end 2		MEF-Iscei-rv-2_S1_L001_R2_001.fastq.gz

Mouse		MEF	Qiao RPA chipseq	MEF	ChIP-Seq		RPA	HiSeq2000	Single-end	0	MEFAID_NoIndex_L002_R1_001.fastq.gz

Mouse		MEF		53bp1-/- infected with I-PpoI	ChIP-Seq	Replicate 1	RPA	HiSeq2000	Single-end	1	Michela_antiRPA_both_51bp_HiSeq2000_single_fastq_prefilter.txt.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre WT	ChIP-Seq	Repeat1	Control-Pol2	HiSeq2000	Single-end	1	r120715A_l6i5_mef__wt__Iggcontrol.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre WT	ChIP-Seq	Repeat1	Pol2	HiSeq2000	Single-end	1	r120715A_l6i6_mef__wt__pol2.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre WT	ChIP-Seq	Repeat1	Pol2-S2P	HiSeq2000	Single-end	1	r120715A_l6i12_mef__wt__pol2S2P.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre WT	ChIP-Seq	Repeat1	Pol2-S5P	HiSeq2000	Single-end	1	r120715A_l6i7_mef__wt__pol2S5P.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre WT	ChIP-Seq	Repeat1	Histone_control	HiSeq2000	Single-end	1	r120913A_l1i2_MEF__wt__unk1.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre WT	ChIP-Seq	Repeat1	H3K4	HiSeq2000	Single-end	1	r120913A_l1i4_MEF__wt__unk2.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre WT	ChIP-Seq	Repeat1	H3K27	HiSeq2000	Single-end	1	r120913A_l1i5_MEF__wt__unk3.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre WT	ChIP-Seq	Repeat1	H3K36	HiSeq2000	Single-end	1	r120913A_l1i6_MEF__wt__unk4.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre WT	ChIP-Seq	Repeat1	NELF-A	HiSeq2000	Single-end	1	r120913A_l1i7_MEF__wt__unk5.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre WT	RNA-Seq	Tecnical Repeats		HiSeq2000	Single-end	1	r120721A_l4i12_primaryMEF__wt__RNASeq_repa.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre WT	RNA-Seq	Tecnical Repeats		HiSeq2000	Single-end	1	r120721A_l4i14_primaryMEF__wt__RNASeq_repb.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre WT	RNA-Seq	Tecnical Repeats		HiSeq2000	Single-end	1	r120721A_l4i16_primaryMEF__wt__RNASeq_repc.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre Spt5-/-	ChIP-Seq	Repeat1	Control-Pol2	HiSeq2000	Single-end	1	r120715A_l7i12_mef__Spt5mm__pol2S2P.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre Spt5-/-	ChIP-Seq	Repeat1	Pol2	HiSeq2000	Single-end	1	r120715A_l7i5_mef__Spt5mm__Iggcontrol.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre Spt5-/-	ChIP-Seq	Repeat1	Pol2-S2P	HiSeq2000	Single-end	1	r120715A_l7i6_mef__Spt5mm__pol2.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre Spt5-/-	ChIP-Seq	Repeat1	Pol2-S5P	HiSeq2000	Single-end	1	r120715A_l7i7_mef__Spt5mm__pol2S5P.fastq.gz

Mouse		MEF	Rushad's Spt5 Experiment 2	ERTcre Spt5-/-	ChIP-Seq	Repeat1	Histone_control	HiSeq2000	Single-end	1	r120913A_l2i2_MEF__Spt5mm__unk6.fastq.gz

